2020-06-21 15:12:42,742 INFO org.example.Application [main] ||  || Starting Application on DESKTOP-0K9OM3V with PID 4736 (C:\Users\Mikhail\IdeaProjects\Spring-REST\target\classes started by Mikhail in C:\Users\Mikhail\IdeaProjects\Spring-REST)
2020-06-21 15:12:42,786 DEBUG org.example.Application [main] ||  || Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
2020-06-21 15:12:42,787 INFO org.example.Application [main] ||  || No active profile set, falling back to default profiles: default
2020-06-21 15:12:44,928 INFO org.springframework.web.context.ContextLoader [main] ||  || Root WebApplicationContext: initialization completed in 2043 ms
2020-06-21 15:12:45,962 INFO org.example.Application [main] ||  || Started Application in 4.09 seconds (JVM running for 6.59)
2020-06-21 15:12:47,130 INFO org.springframework.web.servlet.DispatcherServlet [RMI TCP Connection(2)-172.17.191.33] ||  || Initializing Servlet 'dispatcherServlet'
2020-06-21 15:12:47,145 INFO org.springframework.web.servlet.DispatcherServlet [RMI TCP Connection(2)-172.17.191.33] ||  || Completed initialization in 15 ms
2020-06-21 15:12:55,198 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-1] ||  || GET Request
2020-06-21 15:12:55,789 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-2] ||  || GET Request
2020-06-21 15:12:56,239 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-3] ||  || GET Request
2020-06-21 15:12:56,443 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-4] ||  || GET Request
2020-06-21 15:12:56,676 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-5] ||  || GET Request
2020-06-21 15:13:48,779 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-6] ||  || GET Request
2020-06-21 15:13:48,960 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-7] ||  || GET Request
2020-06-21 15:13:49,281 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-8] ||  || GET Request
2020-06-21 15:13:49,450 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-9] ||  || GET Request
2020-06-21 15:13:49,603 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-10] ||  || GET Request
2020-06-21 15:13:49,772 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-1] ||  || GET Request
2020-06-21 15:13:50,259 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-2] ||  || GET Request
2020-06-21 15:13:50,418 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-3] ||  || GET Request
2020-06-21 15:13:50,569 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-4] ||  || GET Request
2020-06-21 15:13:50,745 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-5] ||  || GET Request
2020-06-21 15:13:50,919 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-6] ||  || GET Request
2020-06-21 15:13:51,084 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-7] ||  || GET Request
2020-06-21 15:13:51,415 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-8] ||  || GET Request
2020-06-21 15:13:51,582 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-9] ||  || GET Request
2020-06-21 15:13:51,739 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-10] ||  || GET Request
2020-06-21 15:13:51,888 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-1] ||  || GET Request
2020-06-21 15:13:52,056 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-2] ||  || GET Request
2020-06-21 15:13:52,228 INFO org.example.rest.Controller [threadPool-1-poolName-MyThreadPool-3] ||  || GET Request
